age,years_with_bank,income,credit_score,has_loan,loan_amount,dti,missed_payments,prob_default,default,employment_status,housing
24,1,39799.62,614,0,0.0,0.0,0,0.0,0,employed,villa
74,1,21912.46,545,0,0.0,0.0,0,0.0,0,retired,hyresrätt
65,25,26829.2,561,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
50,22,33231.54,582,0,0.0,0.0,0,0.0,0,employed,inneboende
49,24,46762.39,554,1,26535.46,0.567,0,0.2248,0,employed,bostadsrätt
80,38,21941.14,541,0,0.0,0.0,0,0.0,0,retired,hyresrätt
24,3,35844.52,553,0,0.0,0.0,0,0.0,0,employed,villa
68,33,20552.17,525,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
32,10,45476.54,559,0,0.0,0.0,0,0.0,0,employed,hyresrätt
24,1,30792.07,629,0,0.0,0.0,0,0.0,0,employed,villa
56,32,42572.09,621,1,10727.32,0.252,2,0.2329,0,employed,inneboende
89,2,20872.54,556,0,0.0,0.0,0,0.0,0,retired,hyresrätt
71,24,21344.56,620,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
73,38,22182.66,534,0,0.0,0.0,0,0.0,0,retired,hyresrätt
70,27,21661.83,659,1,6294.41,0.291,0,0.1203,0,retired,villa
75,38,18646.95,545,0,0.0,0.0,0,0.0,0,retired,villa
55,2,41408.39,640,1,9524.97,0.23,0,0.1302,0,employed,villa
27,5,16273.77,622,0,0.0,0.0,0,0.0,0,employed,hyresrätt
79,32,32703.14,501,0,0.0,0.0,0,0.0,0,retired,hyresrätt
50,21,44932.27,633,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
54,32,25560.17,554,0,0.0,0.0,0,0.0,0,employed,hyresrätt
45,12,30546.84,535,0,0.0,0.0,0,0.0,0,employed,hyresrätt
31,9,42774.69,587,0,0.0,0.0,0,0.0,0,employed,hyresrätt
85,17,13260.51,506,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
75,35,16094.01,580,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
65,4,23993.35,510,0,0.0,0.0,0,0.0,0,retired,villa
47,7,18486.8,552,0,0.0,0.0,0,0.0,0,employed,hyresrätt
78,3,17449.88,595,0,0.0,0.0,0,0.0,0,retired,villa
57,28,15227.63,570,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
50,7,29231.14,539,0,0.0,0.0,0,0.0,0,employed,hyresrätt
50,10,58096.93,600,1,30191.59,0.52,0,0.2312,0,employed,bostadsrätt
34,14,64693.63,530,1,17034.15,0.263,2,0.362,0,employed,villa
24,2,42815.09,528,0,0.0,0.0,0,0.0,0,employed,hyresrätt
58,5,32338.85,538,0,0.0,0.0,0,0.0,0,employed,villa
82,0,27087.53,579,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
22,1,13324.08,553,0,0.0,0.0,0,0.0,0,student,bostadsrätt
80,37,28270.66,592,0,0.0,0.0,0,0.0,0,retired,villa
78,22,18335.46,553,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
38,20,57218.72,552,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
64,8,27451.48,612,0,0.0,0.0,0,0.0,0,employed,hyresrätt
30,4,31011.7,525,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
73,6,37308.09,576,0,0.0,0.0,0,0.0,0,retired,villa
69,16,22762.99,549,0,0.0,0.0,0,0.0,0,retired,inneboende
